workload,level,depth,delta_width,entries,tag_bits,storage_bytes,overflow_pct,coverage,accuracy,pollution,issued,stride_coverage
mcf,L2,1,48,16384,16,137216,0.0,1.0388,83.1229,16.6156,24471,52.2177
mcf,L2,1,48,65536,16,548864,0.0,29.6926,99.2738,0.7153,587181,52.2177
mcf,L2,1,48,262144,16,2195456,0.0,52.6907,99.585,0.4088,1038770,52.2177
mcf,L2,1,48,524288,16,4390912,0.0,56.3071,99.6089,0.3854,1109806,52.2177
mcf,L2,2,48,16384,16,137216,0.0,0.5654,97.5134,2.4689,11341,52.2177
mcf,L2,2,48,65536,16,548864,0.0,19.2527,99.8513,0.1482,378502,52.2177
mcf,L2,2,48,262144,16,2195456,0.0,52.5421,99.9214,0.0784,1032340,52.2177
mcf,L2,2,48,524288,16,4390912,0.0,61.4759,99.9261,0.0737,1207821,52.2177
mcf,L2,3,48,16384,16,137216,0.0,0.5214,99.0302,0.9698,10311,52.2177
mcf,L2,3,48,65536,16,548864,0.0,17.6282,99.9177,0.0823,346347,52.2177
mcf,L2,3,48,262144,16,2195456,0.0,47.7109,99.9487,0.0513,937172,52.2177
mcf,L2,3,48,524288,16,4390912,0.0,57.3016,99.9504,0.0496,1125547,52.2177
