workload,level,depth,delta_width,entries,tag_bits,storage_bytes,overflow_pct,coverage,accuracy,pollution,issued,stride_coverage
omnetpp,L2,1,48,16384,16,137216,0.0,5.4993,79.8596,20.039,39453,4.5464
omnetpp,L2,1,48,65536,16,548864,0.0,5.8617,78.7988,21.0935,42724,4.5464
omnetpp,L2,1,48,262144,16,2195456,0.0,6.181,77.7564,22.1299,45748,4.5464
omnetpp,L2,1,48,524288,16,4390912,0.0,6.2654,77.4463,22.4314,46591,4.5464
omnetpp,L2,2,48,16384,16,137216,0.0,3.0375,78.1856,21.7564,22421,4.5464
omnetpp,L2,2,48,65536,16,548864,0.0,3.4662,77.2213,22.7171,25976,4.5464
omnetpp,L2,2,48,262144,16,2195456,0.0,3.8121,76.2573,23.6841,29011,4.5464
omnetpp,L2,2,48,524288,16,4390912,0.0,3.9304,76.0214,23.9053,30031,4.5464
omnetpp,L2,3,48,16384,16,137216,0.0,1.197,84.5991,15.376,8006,4.5464
omnetpp,L2,3,48,65536,16,548864,0.0,1.7524,83.6839,16.2824,11884,4.5464
omnetpp,L2,3,48,262144,16,2195456,0.0,2.2566,83.0592,16.902,15442,4.5464
omnetpp,L2,3,48,524288,16,4390912,0.0,2.4333,83.0074,16.9566,16672,4.5464
