workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
mcf,ngram-l2-lat64-degree1-depth1-slots1,ngram,L2,64,1,1,1,524288,48,20000000,2011188,1963405,1962551,97.5817,0.0435,0.0705,1123598,13792,1109806,782,1104683,99.5384,0.3854,0,82.9
mcf,ngram-l2-lat64-degree1-depth1-slots2,ngram,L2,64,1,1,2,524288,48,20000000,2011188,1963405,1956612,97.2864,0.346,0.4762,1521906,70582,1451324,6911,1117487,76.9978,22.4948,0,96.3
mcf,ngram-l2-lat64-degree1-depth1-slots4,ngram,L2,64,1,1,4,524288,48,20000000,2011188,1963405,1927393,95.8336,1.8342,2.0717,2267896,502586,1765310,36572,1127887,63.8917,34.0109,0,92.8
mcf,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,2011188,1963405,1962886,97.5983,0.0264,0.0354,1223489,15668,1207821,428,1206501,99.8907,0.0737,0,87.1
mcf,ngram-l2-lat64-degree1-depth2-slots2,ngram,L2,64,2,1,2,524288,48,20000000,2011188,1963405,1959724,97.4411,0.1875,0.2826,1276153,33610,1242543,3512,1222357,98.3754,1.3417,0,98.8
mcf,ngram-l2-lat64-degree1-depth2-slots4,ngram,L2,64,2,1,4,524288,48,20000000,2011188,1963405,1958697,97.3901,0.2398,0.3604,1293661,44515,1249146,4502,1223437,97.9419,1.6975,0,81.9
mcf,ngram-l2-lat64-degree2-depth1-slots1,ngram,L2,64,1,2,1,524288,48,20000000,2011188,1963405,1962175,97.563,0.0626,0.1035,1919376,807810,1111566,1150,1105987,99.4981,0.3927,0,99.4
mcf,ngram-l2-lat64-degree2-depth1-slots2,ngram,L2,64,1,2,2,524288,48,20000000,2011188,1963405,1955541,97.2331,0.4005,0.5265,2687259,1163703,1523556,8021,1119068,73.4511,25.9925,0,102.2
mcf,ngram-l2-lat64-degree2-depth1-slots4,ngram,L2,64,1,2,4,524288,48,20000000,2011188,1963405,1926680,95.7981,1.8705,2.0801,3388690,1591079,1797611,37392,1129362,62.8257,35.0688,0,110.2
mcf,ngram-l2-lat64-degree2-depth2-slots1,ngram,L2,64,2,2,1,524288,48,20000000,2011188,1963405,1962604,97.5843,0.0408,0.0573,2247917,1038679,1209238,693,1207448,99.852,0.0906,0,101.3
mcf,ngram-l2-lat64-degree2-depth2-slots2,ngram,L2,64,2,2,2,524288,48,20000000,2011188,1963405,1959063,97.4082,0.2211,0.3328,2331986,1085428,1246558,4149,1223411,98.1431,1.5238,0,96.3
mcf,ngram-l2-lat64-degree2-depth2-slots4,ngram,L2,64,2,2,4,524288,48,20000000,2011188,1963405,1957944,97.3526,0.2781,0.4176,2351913,1096467,1255446,5243,1225115,97.584,1.9981,0,100.0
mcf,ngram-l2-lat64-degree4-depth1-slots1,ngram,L2,64,1,4,1,524288,48,20000000,2011188,1963405,1961872,97.5479,0.0781,0.1304,2788896,1677271,1111625,1450,1105708,99.4677,0.3961,0,100.7
mcf,ngram-l2-lat64-degree4-depth1-slots2,ngram,L2,64,1,4,2,524288,48,20000000,2011188,1963405,1954467,97.1797,0.4552,0.5579,4347437,2687690,1659747,9259,1118805,67.4082,32.0065,0,117.1
