workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
mcf,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,2011188,1963405,756385,37.6089,61.4759,99.9261,1223489,15668,1207821,1206929,0,0.0,0.0737,0,97.0
mcf,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,2011188,1963405,754084,37.4945,61.593,99.9001,3853935,2643531,1210404,1209195,0,0.0,0.0997,0,110.5
mcf,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,2011188,1963405,1961580,97.5334,0.093,0.1436,1223489,15668,1207821,1734,1205195,99.7826,0.0737,0,126.3
mcf,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,2011188,1963405,1789611,88.9828,8.8517,14.3479,3853935,2643531,1210404,173668,1035527,85.5522,0.0997,0,118.9
mcf,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,2011188,1963405,1962888,97.5984,0.0263,0.0353,1223489,15668,1207821,426,1206503,99.8909,0.0737,0,101.2
mcf,ngram-l2-lat256-degree4-depth2-slots1,ngram,L2,256,2,4,1,524288,48,20000000,2011188,1963405,1962224,97.5654,0.0602,0.0872,3853935,2643531,1210404,1055,1208140,99.813,0.0997,0,120.2
mcf,ngram-l2-lat4-degree1-depth2-slots1,ngram,L2,4,2,1,1,524288,48,20000000,2011188,1963405,1623757,80.7362,17.2989,28.1132,1223489,15668,1207821,339557,867372,71.813,0.0737,0,118.7
mcf,ngram-l2-lat4-degree4-depth2-slots1,ngram,L2,4,2,4,1,524288,48,20000000,2011188,1963405,979565,48.7058,50.1089,81.2715,3853935,2643531,1210404,983714,225481,18.6286,0.0997,0,118.5
mcf,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,2011188,1963405,1962886,97.5983,0.0264,0.0354,1223489,15668,1207821,428,1206501,99.8907,0.0737,0,114.1
mcf,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,2011188,1963405,1962222,97.5653,0.0603,0.0873,3853935,2643531,1210404,1057,1208138,99.8128,0.0997,0,120.4
mcf,none-l2-lat0,none,L2,0,,,,,,20000000,2011188,1963405,1963405,97.6241,0.0,0.0,0,0,0,0,0,0.0,0.0,,56.7
mcf,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,2011188,1963405,938160,46.6471,52.2177,99.9378,1032143,6253,1025890,1025252,0,0.0,0.0616,,73.0
mcf,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,2011188,1963405,790174,39.2889,59.7549,99.8433,4128524,2953431,1175093,1173252,0,0.0,0.1549,,68.2
mcf,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,2011188,1963405,1719568,85.5001,12.4191,23.769,1032143,6253,1025890,243844,781408,76.1688,0.0616,,86.7
mcf,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,2011188,1963405,795739,39.5656,59.4715,99.3698,4128524,2953431,1175093,1167687,5565,0.4736,0.1549,,74.8
mcf,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,2011188,1963405,1884494,93.7005,4.0191,7.6925,1032143,6254,1025889,78916,946336,92.2455,0.0615,,90.4
mcf,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,2011188,1963405,1773700,88.1917,9.662,16.1452,4128524,2953434,1175090,189721,983532,83.6984,0.1545,,78.3
mcf,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,2011188,1963405,951098,47.2904,51.5587,98.6767,1032143,6253,1025890,1012314,12938,1.2611,0.0616,,85.6
mcf,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,2011188,1963405,790258,39.2931,59.7506,99.8362,4128524,2953431,1175093,1173168,84,0.0071,0.1549,,74.4
mcf,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,2011188,1963405,1826828,90.8333,6.9561,13.3137,1032143,6254,1025889,136584,888668,86.6242,0.0615,,87.1
mcf,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,2011188,1963405,1655843,82.3316,15.6647,26.1752,4128524,2953432,1175092,307583,865669,73.6682,0.1548,,78.1
omnetpp,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,766334,548437,526881,68.7534,3.9304,76.0214,41301,11270,30031,22830,0,0.0,23.9053,0,60.1
omnetpp,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,766334,548437,526089,68.6501,4.0749,72.8331,55602,22801,32801,23890,0,0.0,27.0937,0,44.4
omnetpp,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,766334,548437,539761,70.4342,1.582,33.1324,41301,11270,30031,9950,12880,42.889,23.9053,0,58.4
omnetpp,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,766334,548437,538237,70.2353,1.8598,35.7977,55602,22801,32801,11742,12148,37.0355,27.0937,0,54.9
omnetpp,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,766334,548437,547456,71.4383,0.1789,7.5153,41301,11269,30032,2257,20574,68.5069,23.9045,0,55.7
