workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
mcf,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,2011188,2009449,10.0472,0.0865,45.2288,3944016,3939143,4873,2204,0,0.0,54.607,10803083,136.7
mcf,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,2011188,1998722,9.9936,0.6198,79.7823,3895894,3879354,16540,13196,0,0.0,20.1874,10803083,130.5
mcf,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,2011188,2011188,10.0559,0.0,0.0,0,0,0,0,0,0.0,0.0,,44.0
mcf,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,2011188,613534,3.0677,69.494,99.925,2293900,894746,1399154,1398105,0,0.0,0.0748,,75.7
omnetpp,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,766334,760394,3.802,0.7751,41.6019,6218898,6200120,18778,7812,0,0.0,58.3928,9965688,139.7
omnetpp,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,766334,762750,3.8137,0.4677,62.0695,4518285,4512013,6272,3893,0,0.0,37.9145,9965688,125.6
omnetpp,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,766334,766334,3.8317,0.0,0.0,0,0,0,0,0,0.0,0.0,,42.1
omnetpp,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,766334,744409,3.722,2.861,58.1474,1007187,964081,43106,25065,0,0.0,41.8364,,67.2
gcc,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,1448681,887014,4.4351,38.7709,99.9624,9362715,8800818,561897,561686,0,0.0,0.0376,7559255,159.6
gcc,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,1448681,990873,4.9544,31.6017,99.9546,7849447,7391414,458033,457825,0,0.0,0.0454,7559255,154.0
gcc,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,1448681,1448681,7.2434,0.0,0.0,0,0,0,0,0,0.0,0.0,,40.1
gcc,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,1448681,390219,1.9511,73.0638,98.7177,6722448,5650026,1072422,1058670,0,0.0,1.2816,,84.7
xalancbmk,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,1688747,1649414,8.2471,2.3291,48.6109,7848345,7760340,88005,42780,0,0.0,51.3357,6971953,164.9
xalancbmk,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,1688747,1665659,8.3283,1.3672,74.963,6421927,6389527,32400,24288,0,0.0,25.0216,6971953,157.6
xalancbmk,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,1688747,1688747,8.4437,0.0,0.0,0,0,0,0,0,0.0,0.0,,40.7
xalancbmk,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,1688747,1564243,7.8212,7.3726,77.8044,7664909,7498214,166695,129696,0,0.0,22.1656,,87.0
leela,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,165359,164609,0.823,0.4536,29.1921,10773128,10735683,37445,10931,0,0.0,70.4366,1772811,218.9
leela,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,165359,151116,0.7556,8.6134,61.7618,6866534,6835748,30786,19014,0,0.0,38.053,1772811,205.9
leela,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,165359,165359,0.8268,0.0,0.0,0,0,0,0,0,0.0,0.0,,38.5
leela,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,165359,128236,0.6412,22.4499,92.2472,2292087,2250786,41301,38099,0,0.0,7.7456,,69.1
xz,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,482395,482087,2.4104,0.0638,20.6215,6226170,6208761,17409,3590,0,0.0,79.2923,7369108,146.7
xz,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,482395,481764,2.4088,0.1308,22.6457,5320546,5311127,9419,2133,0,0.0,77.2481,7369108,141.5
xz,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,482395,482395,2.412,0.0,0.0,0,0,0,0,0,0.0,0.0,,39.8
xz,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,482395,461525,2.3076,4.3263,83.3184,3963397,3937692,25705,21417,0,0.0,16.666,,78.1
lbm,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,3239998,3239998,16.2,0.0,0.0,4684275,4684275,0,0,0,0.0,0.0,10872941,144.2
lbm,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,3239998,3239618,16.1981,0.0117,44.7059,3677261,3676411,850,380,0,0.0,55.1765,10872941,140.2
lbm,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,3239998,3239998,16.2,0.0,0.0,0,0,0,0,0,0.0,0.0,,46.5
lbm,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,3239998,719381,3.5969,77.7969,99.61,7675855,5145128,2530727,2520857,0,0.0,0.3895,,93.7
bwaves,ngram-l1-lat0-depth2,ngram,L1,0,2,,,1024,16,20000000,20000000,74772,74206,0.371,0.757,59.0285,14049180,14048233,947,559,0,0.0,37.17,1562251,201.9
bwaves,ngram-l1-lat0-depth3,ngram,L1,0,3,,,1024,16,20000000,20000000,74772,74401,0.372,0.4962,70.4545,14029129,14028601,528,372,0,0.0,27.2727,1562251,205.1
bwaves,none-l1-lat0,none,L1,0,,,,,,20000000,20000000,74772,74772,0.3739,0.0,0.0,0,0,0,0,0,0.0,0.0,,35.0
bwaves,stride-l1-lat0-degree1,stride,L1,0,,1,,,,20000000,20000000,74772,1274,0.0064,98.2962,99.4789,15423542,15349654,73888,73503,0,0.0,0.5048,,98.2
